GeNeG_resource,GeNeG_resource_alias,Wikidata_resource,Wikidata_alias,Wikidata_label
http://geneg.net/resource/Steinmeier,Steinmeiers,https://www.wikidata.org/wiki/Q76658,"('Steinmeier', 95)",Frank-Walter_Steinmeier
http://geneg.net/resource/Maripol,Maripol,https://www.wikidata.org/wiki/Q37133,"(""Mariúpol'"", 100)",Mariupol
http://geneg.net/resource/Washington-Universität,Washington-Universität,https://www.wikidata.org/wiki/Q219563,"('Universität Washington', 100)",University_of_Washington
http://geneg.net/resource/Hartz-Gesetzen,Hartz-Gesetzen,https://www.wikidata.org/wiki/Q566910,"('Hartz-Gesetze', 96)",Hartz-Konzept
http://geneg.net/resource/Nord_Stream-2,Nord Stream 2.,https://www.wikidata.org/wiki/Q154125,"('Nord Stream 2', 100)",Nord_Stream
http://geneg.net/resource/Alternativen_Nobelpreise,Alternativen Nobelpreise,https://www.wikidata.org/wiki/Q152770,"('Alternativen Nobelpreis', 98)",Right_Livelyhood_Award
http://geneg.net/resource/Trump,trump,https://www.wikidata.org/wiki/Q22686,"('Trump', 100)",Donald_Trump
http://geneg.net/resource/CHF,chf,https://www.wikidata.org/wiki/Q25344,"('CHF', 100)",Schweizer_Franken
http://geneg.net/resource/O,O.,https://www.wikidata.org/wiki/Q41967,"('OÖ', 100)",Oberösterreich
http://geneg.net/resource/Goethe,Goethe-,https://www.wikidata.org/wiki/Q5879,"('Goethe', 100)",Johann_Wolfgang_Von_Goethe
http://geneg.net/resource/Gesamtdeutsch,gesamtdeutsch,https://www.wikidata.org/wiki/Q1516107,"('gesamtdeutsche', 96)",Gesamtdeutschland
http://geneg.net/resource/Einprozent,EinProzent,https://www.wikidata.org/wiki/Q56297040,"('Ein Prozent', 95)",Ein_Prozent_Für_Unser_Land
http://geneg.net/resource/Europa-Parlamentarier,Europa-Parlamentarier,https://www.wikidata.org/wiki/Q27169,"('Europaparlamentarier', 98)",Mitglied_Des_Europäischen_Parlaments
http://geneg.net/resource/Susan_Rice,susan rice,https://www.wikidata.org/wiki/Q50612,"('Susan Rice', 100)",Susan_E._Rice
http://geneg.net/resource/Türkeistämmiger,Türkeistämmiger,https://www.wikidata.org/wiki/Q704608,"('Türkeistämmige', 96)",Türkischstämmige_in_Deutschland
http://geneg.net/resource/Statistische_Bundesamtes,Statistische Bundesamtes,https://www.wikidata.org/wiki/Q764739,"('Statistischen Bundesamtes', 98)",Statistisches_Bundesamt
http://geneg.net/resource/Freiheitliche,Freiheitliche,https://www.wikidata.org/wiki/Q1212753,"('Freiheitlichen', 96)",Die_Freiheitlichen
