GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Nicolas_Sarkozy,https://www.wikidata.org/wiki/Q329,Nicolas_Sarkozy
http://geneg.net/resource/Otto_Brenner_Stiftung,https://www.wikidata.org/wiki/Q2037907,Otto_Brenner_Stiftung
http://geneg.net/resource/Kyriakos_Mitsotakis,https://www.wikidata.org/wiki/Q552751,Kyriakos_Mitsotakis
http://geneg.net/resource/Oranienburg,https://www.wikidata.org/wiki/Q14808,Oranienburg
http://geneg.net/resource/Ceska-Mordserie,https://www.wikidata.org/wiki/Q369336,Ceska-Mordserie
http://geneg.net/resource/München,https://www.wikidata.org/wiki/Q1726,München
http://geneg.net/resource/Dax,https://www.wikidata.org/wiki/Q155718,Dax
http://geneg.net/resource/Jahn,https://www.wikidata.org/wiki/Q1678548,Jahn
http://geneg.net/resource/Deutschlandfunk,https://www.wikidata.org/wiki/Q695328,Deutschlandfunk
http://geneg.net/resource/Palästina,https://www.wikidata.org/wiki/Q23792,Palästina
http://geneg.net/resource/Uzi,https://www.wikidata.org/wiki/Q155644,Uzi
http://geneg.net/resource/Der_Tagesspiegel,https://www.wikidata.org/wiki/Q10189,Der_Tagesspiegel
http://geneg.net/resource/Brexit,https://www.wikidata.org/wiki/Q7888194,Brexit
http://geneg.net/resource/Buenos_Aires,https://www.wikidata.org/wiki/Q1486,Buenos_Aires
http://geneg.net/resource/Orwell,https://www.wikidata.org/wiki/Q1894250,Orwell
http://geneg.net/resource/Signa,https://www.wikidata.org/wiki/Q82869,Signa
http://geneg.net/resource/Uwe_Steimle,https://www.wikidata.org/wiki/Q2504786,Uwe_Steimle
http://geneg.net/resource/Heiko_Maas,https://www.wikidata.org/wiki/Q108447,Heiko_Maas
http://geneg.net/resource/Little_Boy,https://www.wikidata.org/wiki/Q181013,Little_Boy
http://geneg.net/resource/Rubikon,https://www.wikidata.org/wiki/Q172572,Rubikon
http://geneg.net/resource/Stefan_Schubert,https://www.wikidata.org/wiki/Q2337605,Stefan_Schubert
http://geneg.net/resource/Ton_Steine_Scherben,https://www.wikidata.org/wiki/Q481487,Ton_Steine_Scherben
http://geneg.net/resource/Türkei,https://www.wikidata.org/wiki/Q43,Türkei
http://geneg.net/resource/Kassel,https://www.wikidata.org/wiki/Q2865,Kassel
http://geneg.net/resource/Freiheit,https://www.wikidata.org/wiki/Q2979,Freiheit
http://geneg.net/resource/Hochschule_Für_Angewandte_Wissenschaften_Hamburg,https://www.wikidata.org/wiki/Q913987,Hochschule_Für_Angewandte_Wissenschaften_Hamburg
http://geneg.net/resource/Macron,https://www.wikidata.org/wiki/Q1439645,Macron
http://geneg.net/resource/Der_Flügel,https://www.wikidata.org/wiki/Q28498755,Der_Flügel
http://geneg.net/resource/M5,https://www.wikidata.org/wiki/Q1848985,M5
http://geneg.net/resource/Martin_Horn,https://www.wikidata.org/wiki/Q1904097,Martin_Horn
http://geneg.net/resource/Mexiko,https://www.wikidata.org/wiki/Q96,Mexiko
http://geneg.net/resource/Luxemburg,https://www.wikidata.org/wiki/Q32,Luxemburg
http://geneg.net/resource/Europa,https://www.wikidata.org/wiki/Q46,Europa
http://geneg.net/resource/Peter_Bartels,https://www.wikidata.org/wiki/Q98601407,Peter_Bartels
http://geneg.net/resource/Bengasi,https://www.wikidata.org/wiki/Q40816,Bengasi
http://geneg.net/resource/Tschad,https://www.wikidata.org/wiki/Q657,Tschad
http://geneg.net/resource/Jürgen_Link,https://www.wikidata.org/wiki/Q1717423,Jürgen_Link
http://geneg.net/resource/Tilmann_Kleinjung,https://www.wikidata.org/wiki/Q97958769,Tilmann_Kleinjung
http://geneg.net/resource/Neu-Delhi,https://www.wikidata.org/wiki/Q987,Neu-Delhi
http://geneg.net/resource/Bolivien,https://www.wikidata.org/wiki/Q750,Bolivien
http://geneg.net/resource/Bonn,https://www.wikidata.org/wiki/Q586,Bonn
http://geneg.net/resource/Grand_Canyon,https://www.wikidata.org/wiki/Q118841,Grand_Canyon
http://geneg.net/resource/Bautzen,https://www.wikidata.org/wiki/Q14835,Bautzen
http://geneg.net/resource/Fridays_for_Future,https://www.wikidata.org/wiki/Q60674974,Fridays_for_Future
http://geneg.net/resource/Madrid,https://www.wikidata.org/wiki/Q2807,Madrid
http://geneg.net/resource/Strike,https://www.wikidata.org/wiki/Q763850,Strike
http://geneg.net/resource/Black_Lives_Matter,https://www.wikidata.org/wiki/Q19600530,Black_Lives_Matter
http://geneg.net/resource/Alster,https://www.wikidata.org/wiki/Q1219,Alster
http://geneg.net/resource/Rio_Grande,https://www.wikidata.org/wiki/Q160636,Rio_Grande
http://geneg.net/resource/St._Gallen,https://www.wikidata.org/wiki/Q25607,St._Gallen
http://geneg.net/resource/Sebastian_Kurz,https://www.wikidata.org/wiki/Q2262885,Sebastian_Kurz
http://geneg.net/resource/Umar_Israilov,https://www.wikidata.org/wiki/Q746394,Umar_Israilov
http://geneg.net/resource/Chagos-Archipel,https://www.wikidata.org/wiki/Q192188,Chagos-Archipel
http://geneg.net/resource/Oberlausitz,https://www.wikidata.org/wiki/Q7943,Oberlausitz
http://geneg.net/resource/Alice_Weidel,https://www.wikidata.org/wiki/Q27975838,Alice_Weidel
