GeNeG_resource,other_GeNeG_resource_w_alias_len,Matching node,Matched_label
http://geneg.net/resource/Mittelmeer-Insel,"[('http://geneg.net/resource/Mittelmeer-Inseln', 1)]",http://geneg.net/resource/Mittelmeer-Inseln,Mittelmeer-Inseln
http://geneg.net/resource/Nato-Manövern,"[('http://geneg.net/resource/Nato-Manöver', 1)]",http://geneg.net/resource/Nato-Manöver,Nato-Manöver
http://geneg.net/resource/Chuck_Shumer,"[('http://geneg.net/resource/Chuck_Schumer', 1)]",http://geneg.net/resource/Chuck_Schumer,Chuck_Schumer
http://geneg.net/resource/Paritätischen,"[('http://geneg.net/resource/Paritätische', 1)]",http://geneg.net/resource/Paritätische,Paritätische
http://geneg.net/resource/Bundesverband_Unbegleiteter_Minderjähriger_Flüchtlinge,"[('http://geneg.net/resource/Bundesverband_Unbegleitete_Minderjährige_Flüchtlinge', 1)]",http://geneg.net/resource/Bundesverband_Unbegleitete_Minderjährige_Flüchtlinge,Bundesverband_Unbegleitete_Minderjährige_Flüchtlinge
http://geneg.net/resource/Afd-Vorsitzenden,"[('http://geneg.net/resource/Afd-Vorsitzende', 1)]",http://geneg.net/resource/Afd-Vorsitzende,Afd-Vorsitzende
http://geneg.net/resource/Us-Milliardär,"[('http://geneg.net/resource/Us-Milliardäre', 1)]",http://geneg.net/resource/Us-Milliardäre,Us-Milliardäre
http://geneg.net/resource/Vereinigten_Arabischen_Emiraten,"[('http://geneg.net/resource/Vereinten_Arabischen_Emiraten', 1)]",http://geneg.net/resource/Vereinten_Arabischen_Emiraten,Vereinten_Arabischen_Emiraten
http://geneg.net/resource/Dublin-Abschiebung,"[('http://geneg.net/resource/Dublin-Abschiebungen', 1)]",http://geneg.net/resource/Dublin-Abschiebungen,Dublin-Abschiebungen
http://geneg.net/resource/Hessenplan,"[('http://geneg.net/resource/Hessenplans', 1)]",http://geneg.net/resource/Hessenplans,Hessenplans
http://geneg.net/resource/Kurdischer_Roter_Halbmond,"[('http://geneg.net/resource/Kurdische_Rote_Halbmond', 1)]",http://geneg.net/resource/Kurdische_Rote_Halbmond,Kurdische_Rote_Halbmond
http://geneg.net/resource/Cdu-Merkel,"[('http://geneg.net/resource/Merkel-Cdu', 1)]",http://geneg.net/resource/Merkel-Cdu,Merkel-Cdu
http://geneg.net/resource/Us-Botschafters,"[('http://geneg.net/resource/Us-Botschafter', 2)]",http://geneg.net/resource/Us-Botschafter,Us-Botschafter
http://geneg.net/resource/PKK-Verbots,"[('http://geneg.net/resource/PKK-Verbot', 1)]",http://geneg.net/resource/PKK-Verbot,PKK-Verbot
http://geneg.net/resource/Deutschenhasserin,"[('http://geneg.net/resource/Deutschenhassern', 1)]",http://geneg.net/resource/Deutschenhassern,Deutschenhassern
http://geneg.net/resource/Db-Mitarbeitern,"[('http://geneg.net/resource/Db-Mitarbeiter', 1)]",http://geneg.net/resource/Db-Mitarbeiter,Db-Mitarbeiter
http://geneg.net/resource/Asow-Bataillon,"[('http://geneg.net/resource/Asow_Bataillon', 1)]",http://geneg.net/resource/Asow_Bataillon,Asow_Bataillon
http://geneg.net/resource/Stürzenberger,"[('http://geneg.net/resource/Stürzenbergers', 1)]",http://geneg.net/resource/Stürzenbergers,Stürzenbergers
http://geneg.net/resource/Anti-Brüssel-Plakaten,"[('http://geneg.net/resource/Anti-Brüssel-Plakate', 1)]",http://geneg.net/resource/Anti-Brüssel-Plakate,Anti-Brüssel-Plakate
http://geneg.net/resource/Ber-Flughafen,"[('http://geneg.net/resource/Ber-Flughafens', 1)]",http://geneg.net/resource/Ber-Flughafens,Ber-Flughafens
http://geneg.net/resource/Merkelista,"[('http://geneg.net/resource/Merkelistan', 1)]",http://geneg.net/resource/Merkelistan,Merkelistan
http://geneg.net/resource/Welt-Chefredakteur,"[('http://geneg.net/resource/Welt-Chefredakteurin', 1)]",http://geneg.net/resource/Welt-Chefredakteurin,Welt-Chefredakteurin
http://geneg.net/resource/Stegemanns,"[('http://geneg.net/resource/Stegemann', 1)]",http://geneg.net/resource/Stegemann,Stegemann
http://geneg.net/resource/Dieter_Steins,"[('http://geneg.net/resource/Dieter_stein', 1)]",http://geneg.net/resource/Dieter_stein,Dieter_stein
http://geneg.net/resource/Maximilian_Popp,"[('http://geneg.net/resource/Popp_Maximilian', 1)]",http://geneg.net/resource/Popp_Maximilian,Popp_Maximilian
http://geneg.net/resource/Bashar_Al-Assad,"[('http://geneg.net/resource/Bashar_Al_Assad', 1)]",http://geneg.net/resource/Bashar_Al_Assad,Bashar_Al_Assad
