GeNeG_resource,GeNeG_resource_alias,Wikidata_resource_w_alias_len,Matching node,Matched_alias
http://geneg.net/resource/Co,Co.,"[('https://www.wikidata.org/wiki/Q1261', 4), ('https://www.wikidata.org/wiki/Q739', 6)]",https://www.wikidata.org/wiki/Q739,"('CO', 100)"
http://geneg.net/resource/Ellwangen,ellwangen,"[('https://www.wikidata.org/wiki/Q875525', 1), ('https://www.wikidata.org/wiki/Q163973', 3)]",https://www.wikidata.org/wiki/Q163973,"('Ellwangen', 100)"
http://geneg.net/resource/De_Maiziére,De Maizière,"[('https://www.wikidata.org/wiki/Q57364', 12), ('https://www.wikidata.org/wiki/Q57412', 1)]",https://www.wikidata.org/wiki/Q57364,"('de Maizière', 100)"
http://geneg.net/resource/Biberach,BIBERACH,"[('https://www.wikidata.org/wiki/Q16069', 5), ('https://www.wikidata.org/wiki/Q856157', 1)]",https://www.wikidata.org/wiki/Q16069,"('Biberach', 100)"
http://geneg.net/resource/Epp,epp,"[('https://www.wikidata.org/wiki/Q208242', 5), ('https://www.wikidata.org/wiki/Q635616', 5)]",https://www.wikidata.org/wiki/Q208242,"('EPP', 100)"
http://geneg.net/resource/Vs,vs.,"[('https://www.wikidata.org/wiki/Q834', 5), ('https://www.wikidata.org/wiki/Q30', 38)]",https://www.wikidata.org/wiki/Q30,"('VS', 100)"
http://geneg.net/resource/And,and,"[('https://www.wikidata.org/wiki/Q228', 5), ('https://www.wikidata.org/wiki/Q191081', 10)]",https://www.wikidata.org/wiki/Q191081,"('AND', 100)"
http://geneg.net/resource/Zawiya,zawiya,"[('https://www.wikidata.org/wiki/Q833913', 12), ('https://www.wikidata.org/wiki/Q221503', 8)]",https://www.wikidata.org/wiki/Q833913,"('Zawiya', 100)"
http://geneg.net/resource/Öh,ÖH,"[('https://www.wikidata.org/wiki/Q1621118', 4), ('https://www.wikidata.org/wiki/Q28892', 10)]",https://www.wikidata.org/wiki/Q28892,"('H.', 100)"
http://geneg.net/resource/Schroeders,Schroeders,"[('https://www.wikidata.org/wiki/Q110753', 1), ('https://www.wikidata.org/wiki/Q691125', 2)]",https://www.wikidata.org/wiki/Q691125,"('Schroeder', 95)"
http://geneg.net/resource/Lucía,Lucía,"[('https://www.wikidata.org/wiki/Q26722306', 6), ('https://www.wikidata.org/wiki/Q1872941', 3), ('https://www.wikidata.org/wiki/Q1872997', 1)]",https://www.wikidata.org/wiki/Q26722306,"('Luca', 100)"
http://geneg.net/resource/Berlin/Brandenburg,Berlin/Brandenburg,"[('https://www.wikidata.org/wiki/Q473879', 1), ('https://www.wikidata.org/wiki/Q524096', 10)]",https://www.wikidata.org/wiki/Q524096,"('Berlin-Brandenburg', 100)"
http://geneg.net/resource/Cdu/_Csu,CDU CSU,"[('https://www.wikidata.org/wiki/Q1023134', 7), ('https://www.wikidata.org/wiki/Q708725', 7)]",https://www.wikidata.org/wiki/Q1023134,"('CDU/CSU', 100)"
http://geneg.net/resource/Moria,moria,"[('https://www.wikidata.org/wiki/Q21645923', 2), ('https://www.wikidata.org/wiki/Q193163', 7), ('https://www.wikidata.org/wiki/Q46854', 1), ('https://www.wikidata.org/wiki/Q244187', 1), ('https://www.wikidata.org/wiki/Q1947806', 1), ('https://www.wikidata.org/wiki/Q30752848', 5)]",https://www.wikidata.org/wiki/Q193163,"('Moria', 100)"
http://geneg.net/resource/Pellegrinis,Pellegrinis,"[('https://www.wikidata.org/wiki/Q2054688', 3), ('https://www.wikidata.org/wiki/Q21011190', 1)]",https://www.wikidata.org/wiki/Q2054688,"('Pellegrini', 95)"
